t_state,t_county,t_fips,p_name,p_year,p_tnum,p_cap,t_conf_atr,t_conf_loc,xlong,ylat
CA,Kern County,6029,251 Wind,1987,194,18.43,2,3,-118.360725,35.083778
IA,Story County,19169,30 MW Iowa DG Portfolio,2017,10,30.0,3,3,-93.51371,42.019119
MA,Barnstable County,25001,6th Space Warning Squadron,2013,2,3.36,3,3,-70.541801,41.752491
IA,Story County,19169,AG Land 1,2012,1,1.6,3,3,-93.325691,42.20639
IA,Hamilton County,19079,AG Land 5,2012,1,1.6,3,3,-93.632095,42.335491
IA,Adair County,19001,Adair,2008,76,174.8,3,3,-94.68869,41.486591
IA,Adams County,19003,Adams,2016,60,144.9,3,3,-94.725616,40.925251
MN,Meeker County,27093,"Adams Wind Generations, LLC",2011,12,20.04,3,3,-94.71479,44.916992
MN,Clay County,27027,Agassiz Beach,2001,3,1.98,3,3,-96.435493,46.999592
IL,Bureau County,17011,Agriwind,2008,4,8.4,3,3,-89.619392,41.302994
NE,Brown County,31017,Ainsworth Wind Project (NPPD),2005,36,59.4,3,3,-99.874794,42.459492
WY,Laramie County,56021,Air Force (Laramie),2009,1,2.0,3,3,-104.884689,41.178291
KS,Rush County,20165,Alexander,2015,21,48.3,3,3,-99.521271,38.420261
CA,Kern County,6029,Alite Wind Farm,2008,8,24.0,3,3,-118.343689,35.031494
PA,Cambria County,42021,Allegheny Ridge,2007,40,80.0,3,3,-78.579498,40.384991
CA,Kern County,6029,Alta I,2010,100,150.0,3,3,-118.388885,35.052197
CA,Kern County,6029,Alta II,2010,50,150.0,3,3,-118.223885,35.010796
CA,Kern County,6029,Alta III,2011,50,150.0,3,3,-118.305389,35.003296
CA,Kern County,6029,Alta IV,2011,34,102.0,3,3,-118.269386,34.996696
CA,Riverside County,6065,Alta Mesa 1 and 2,1988,115,18.56,3,3,-116.656586,33.936596
CA,Riverside County,6065,Alta Mesa 3,1995,42,9.45,3,3,-116.657387,33.938793
CA,Kern County,6029,Alta V,2011,56,168.0,3,3,-118.25309,35.011696
CA,Kern County,6029,Alta VI (partial),2011,44,132.0,3,3,-118.305389,35.027096
CA,Kern County,6029,Alta VIII (partial),2011,43,129.0,3,3,-118.235489,35.007294
CA,Kern County,6029,Alta X,2013,48,136.8,3,3,-118.22905,35.104855
CA,Kern County,6029,Alta XI,2013,41,69.7,3,3,-118.372093,35.10244
IN,Benton County,18007,Amazon Wind Farm (Fowler Ridge),2015,65,149.5,3,3,-87.405968,40.623802
TX,Scurry County,48415,Amazon Wind Farm Texas,2017,110,253.0,3,3,-101.001038,32.859547
OH,Paulding County,39125,Amazon Wind Farm US Central,2016,48,100.8,3,2,-84.773071,41.087425
NC,Perquimans County,37143,Amazon Wind Farm US East,2017,104,208.0,3,3,-76.469376,36.322948
TX,Kinney County,48271,Anacacho,2012,55,99.0,3,3,-100.206192,29.182795
NM,Chaves County,35005,Anderson Wind Project,2014,5,10.0,3,3,-103.869209,33.013515
TX,Denton County,48121,Apogee Stadium Wind,2012,3,0.3,3,3,-97.160995,33.201195
MI,Huron County,26063,Apple Blossom,2017,29,100.05,3,1,-83.29007,43.791111
MA,Essex County,25009,Applied Materials,2012,1,2.5,3,3,-70.649399,42.628193
NM,Guadalupe County,35019,Aragonne Wind LLC (Pastura),2006,90,90.0,3,3,-105.000992,34.826996
OK,Murray County,40099,Arbuckle Mountain,2015,50,100.0,3,3,-97.152649,34.380653
PA,Tioga County,42117,Armenia Mountain,2009,67,100.5,3,3,-76.984566,41.735542
ND,Griggs County,38039,Ashtabula II,2009,80,120.0,3,3,-97.974594,47.280193
ND,Barnes County,38003,Ashtabula III,2010,39,62.4,3,3,-97.87809,47.201691
ND,Barnes County,38003,Ashtabula Wind Center,2008,131,196.5,3,3,-97.964188,47.107391
HI,Maui County,15009,Auwahi Wind,2012,8,24.0,3,3,-156.318481,20.599096
KS,Kiowa County,20097,BTI Wind,2010,2,-9999.0,2,3,-99.30069,37.605694
TX,Kenedy County,48261,Baffin,2015,101,202.0,3,3,-97.609123,27.141745
ND,Burleigh County,38015,Baldwin,2010,64,102.4,3,3,-100.695793,47.148792
OK,Beaver County,40007,Balko Wind,2015,162,299.7,3,3,-100.781624,36.519653
MA,Barnstable County,25001,Barnstable Wastewater Treatment Facility,2010,2,0.2,2,3,-70.306396,41.663692
IA,Worth County,19195,Barton,2009,80,160.0,3,3,-93.045692,43.380291
TX,Jack County,48237,Barton Chapel,2009,60,120.0,3,3,-98.331192,33.066494
PA,Luzerne County,42079,Bear Creek,2006,12,24.0,3,3,-75.737732,41.244194
TX,Glasscock County,48173,Bearkat I,2017,57,196.65,3,3,-101.635674,31.783373
IA,Greene County,19073,Beaver Creek,2017,85,170.0,3,3,-94.181282,42.11871
MI,Gratiot County,26057,Beebe 1B,2014,21,50.4,3,3,-84.533142,43.311153
MI,Gratiot County,26057,Beebe Community Wind,2012,34,81.6,3,3,-84.494995,43.243893
WV,Greenbrier County,54025,Beech Ridge,2010,67,100.5,3,3,-80.4804,38.080395
SD,Charles Mix County,46023,"Beethoven Wind, LLC",2015,43,79.55,3,3,-98.106842,43.187794
OR,Baker County,41001,Benson Creek,2017,5,10.0,3,3,-117.276199,44.414421
MN,Freeborn County,27047,Bent Tree,2011,122,201.3,3,3,-93.465591,43.727192
IN,Benton County,18007,Benton County Wind Farm,2008,87,130.5,3,3,-87.411789,40.667381
MA,Franklin County,25011,Berkshire East Ski Area,2010,1,0.9,3,3,-72.866798,42.616291
MA,Berkshire County,25003,Berkshire Wind,2011,10,15.0,3,3,-73.274101,42.582291
TX,Castro County,48069,Bethel,2017,120,276.0,3,3,-102.485085,34.523273
MN,Faribault County,27043,Big Blue Wind Farm,2012,18,36.0,3,3,-94.232796,43.628193
WA,Klickitat County,53039,Big Horn,2006,133,199.5,3,3,-120.328583,45.850895
WA,Klickitat County,53039,Big Horn 2,2010,25,50.0,2,3,-120.267708,45.927769
IL,Bureau County,17011,Big Sky Wind,2011,114,239.4,3,3,-89.48439,41.575592
OK,Roger Mills County,40129,Big Smile Wind Farm at Dempsey Ridge,2012,66,132.0,3,3,-99.812889,35.539593
TX,Howard County,48227,Big Spring I,1999,42,27.72,3,3,-101.431091,32.180393
MT,Sweet Grass County,30097,Big Timber,2018,14,25.0,3,3,-109.636612,45.841423
MI,Huron County,26063,Big Turtle,2014,10,20.0,3,3,-82.753502,43.884701
MI,Huron County,26063,Big Turtle II,2016,14,29.4,3,2,-82.790268,43.933426
OR,Sherman County,41055,Biglow Canyon I,2007,76,125.4,3,3,-120.621887,45.653893
OR,Sherman County,41055,Biglow Canyon II,2009,65,149.5,3,3,-120.648483,45.655792
OR,Sherman County,41055,Biglow Canyon III,2010,76,174.8,3,3,-120.517082,45.646996
MN,Cottonwood County,27033,Bingham Lake,2006,12,15.0,3,3,-95.068489,43.961693
ME,Somerset County,23025,Bingham Wind,2016,56,184.8,3,3,-69.68808,45.134323
IL,Henry County,17073,Bishop Hill I,2012,34,51.0,3,3,-90.129295,41.161591
IL,Henry County,17073,Bishop Hill II,2012,50,81.0,3,3,-90.219292,41.229492
IL,Henry County,17073,Bishop Hill III,2018,51,127.5,3,3,-90.297745,41.231564
ND,Morton County,38059,Bison 1B (2011),2011,7,21.0,2,3,-101.553391,46.95969
ND,Oliver County,38065,Bison Wind 1A,2010,16,36.8,2,3,-101.529137,46.983624
ND,Oliver County,38065,Bison Wind 1B,2012,8,24.0,3,3,-101.487587,47.003693
ND,Morton County,38059,Bison Wind 2,2012,35,105.0,3,3,-101.677589,46.968391
ND,Morton County,38059,Bison Wind 3,2012,35,105.0,3,3,-101.573593,46.946991
ND,Oliver County,38065,Bison Wind 4,2014,64,204.8,3,3,-101.546829,47.022602
MN,Stearns County,27145,Black Oak Getty,2016,39,78.0,3,3,-95.046051,45.625317
IL,LaSalle County,17099,Blackstone (Top Crop),2009,68,102.0,3,3,-88.631996,41.147591
IL,Grundy County,17063,Blackstone (Top Crop) II,2010,132,198.0,3,3,-88.496597,41.160992
OK,Kay County,40071,Blackwell,2012,26,59.8,3,3,-97.460495,36.848595
RI,Washington County,44009,Block Island,2016,5,30.0,3,3,-71.537651,41.106396
KS,Clark County,20025,Bloom,2017,54,178.2,3,3,-99.903992,37.458096
OK,Comanche County,40031,Blue Canyon I,2003,45,74.25,3,3,-98.565994,34.846294
OK,Kiowa County,40075,Blue Canyon II,2005,84,151.2,3,3,-98.650391,34.883392
OK,Comanche County,40031,Blue Canyon V,2009,66,99.0,3,3,-98.465195,34.803894
OK,Caddo County,40015,Blue Canyon VI,2011,55,99.0,3,3,-98.538391,34.875793
OH,Van Wert County,39161,Blue Creek,2012,152,304.0,3,3,-84.587997,40.972591
WI,Fond du Lac County,55039,Blue Sky - Green Field,2008,88,145.2,3,3,-88.295395,43.88739
TX,Wilbarger County,48487,Blue Summit,2012,6,9.0,3,3,-99.346596,34.311993
MO,Gentry County,29075,Bluegrass Ridge,2007,27,56.7,3,3,-94.49369,40.090694
OK,Beaver County,40007,Bluestem,2016,60,198.0,3,3,-100.590431,36.554623
IN,Jay County,18075,Bluff Point,2017,57,119.7,3,3,-84.870354,40.319088
TX,Archer County,48009,Bobcat Bluff,2012,100,150.0,3,3,-98.625694,33.477795
ND,Rolette County,38079,Border Winds Project,2015,75,150.0,3,3,-99.579193,48.966972
OH,Columbiana County,39029,Boyce Dairy Farm,2010,1,0.1,2,3,-81.045471,40.868603
ND,Stark County,38089,Brady Wind I,2016,80,137.2,3,3,-102.903412,46.648975
ND,Hettinger County,38041,Brady Wind II,2016,65,136.5,3,3,-102.692833,46.612343
NM,Curry County,35009,"Brahms Wind, LLC",2014,12,19.8,3,3,-103.278923,34.747833
TX,Borden County,48033,Brazos Wind Ranch,2003,61,61.0,3,3,-101.31749,32.941593
OK,Garfield County,40047,Breckinridge,2015,57,98.1,3,3,-97.64315,36.457584
TX,Briscoe County,48045,Briscoe,2015,81,150.0,3,3,-101.288223,34.352455
TX,Deaf Smith County,48117,Broadview Energy JN LLC,2017,36,82.8,3,3,-102.977951,34.809921
NM,Curry County,35009,Broadview Energy KW LLC,2017,62,142.6,3,3,-103.124443,34.721046
NE,Custer County,31041,Broken Bow I,2012,50,80.0,3,3,-99.63279,41.492695
NE,Custer County,31041,Broken Bow II,2014,43,75.0,3,3,-99.564293,41.538113
CA,Kern County,6029,Brookfield Tehachapi 1 (CCDLP),2012,34,102.0,3,3,-118.30909,35.056396
CA,Kern County,6029,Brookfield Tehachapi 2,2012,7,21.0,3,3,-118.244492,35.045197
MI,Huron County,26063,Brookfield Wind Park,2014,44,74.8,3,3,-83.404999,43.721992
IL,Brown County,17009,Brown County Wind Turbine,2011,1,1.5,3,3,-90.699394,39.973492
TX,Willacy County,48489,Bruenning's Breeze,2017,76,228.0,3,3,-97.670471,26.53968
KS,Ellis County,20051,Buckeye,2015,112,200.0,3,3,-99.545403,38.992294
TX,Erath County,48143,Buckthorn,2017,26,89.7,3,3,-98.422028,32.358513
CA,Contra Costa County,6013,Buena Vista,2006,38,38.0,3,3,-121.67099,37.799793
OK,Harper County,40059,Buffalo Bear,2008,9,18.9,3,3,-99.64859,36.764595
KS,Grant County,20067,Buffalo Dunes,2013,135,249.75,3,3,-101.09269,37.644394
TX,Nolan County,48353,Buffalo Gap 3,2008,74,170.2,3,3,-100.201393,32.304794
TX,Taylor County,48441,Buffalo Gap Wind Farm,2005,67,120.6,3,3,-100.144791,32.312195
TX,Nolan County,48353,"Buffalo Gap, phase II",2007,155,232.5,3,3,-100.193489,32.364494
TN,Anderson County,47001,Buffalo Mountain,2004,15,27.0,3,3,-84.335594,36.114895
TN,Anderson County,47001,Buffalo Mountain (Windrock),2000,3,1.98,3,3,-84.338295,36.119793
SD,Brookings County,46011,Buffalo Ridge,2009,24,50.4,3,3,-96.494888,44.41909
SD,Brookings County,46011,Buffalo Ridge II,2010,105,210.0,3,3,-96.651894,44.525993
MN,Lincoln County,27081,Buffalo Ridge Wind,1994,73,26.28,3,3,-96.25959,44.237492
TX,Borden County,48033,Bull Creek,2008,180,180.0,3,3,-101.558388,32.935993
ME,Hancock County,23009,Bull Hill,2012,19,34.2,3,3,-68.160896,44.695091
IL,Bureau County,17011,Bureau Valley School District,2004,1,0.66,3,3,-89.678192,41.453392
ID,Cassia County,16031,Burley Butte,2011,13,19.5,3,3,-113.92659,42.490093
CO,Huerfano County,8055,Busch Ranch,2012,16,28.8,3,3,-104.480591,37.787792
WI,Dodge County,55027,Butler Ridge,2009,36,54.0,3,3,-88.486862,43.418156
CA,Riverside County,6065,Cabazon,1999,53,39.75,2,3,-116.717186,33.915695
IL,Vermilion County,17183,California Ridge,2012,134,217.08,3,3,-87.785797,40.19379
CA,Los Angeles County,6037,California State Prison Los Angeles County,2017,1,1.85,3,3,-118.221596,34.691982
TX,Taylor County,48441,Callahan Divide,2005,76,114.0,2,3,-100.01725,32.304211
TX,Cameron County,48061,Cameron,2015,55,165.0,3,3,-97.522163,26.174335
CA,Kern County,6029,Cameron Ridge,1999,80,60.0,3,3,-118.307587,35.081696
IL,Marshall County,17123,Camp Grove,2007,100,150.0,3,3,-89.588097,41.038391
ID,Elmore County,16039,Camp Reed,2010,15,22.5,3,3,-115.049187,42.819794
TX,Scurry County,48415,Camp Springs,2007,87,130.5,3,3,-100.82579,32.791294
TX,Scurry County,48415,Camp Springs II,2008,59,88.5,3,3,-100.809692,32.700794
SD,Campbell County,46021,Campbell County,2015,55,95.0,3,3,-100.286606,45.784527
WY,Converse County,56009,Campbell Hill,2009,66,99.0,3,3,-105.999092,43.006794
OK,Canadian County,40017,Canadian Hills,2012,73,149.65,3,3,-98.045189,35.627995
KS,Elk County,20049,Caney River,2011,111,199.8,3,3,-96.438194,37.388592
ME,Oxford County,23017,Canton Mountain,2017,8,22.8,3,3,-70.303192,44.514629
MA,Barnstable County,25001,Cape Cod Regional Transit Authority,2010,1,0.1,2,3,-70.144402,41.69009
TX,Sterling County,48431,Capricorn Ridge,2007,64,147.2,3,3,-100.902695,31.864294
TX,Sterling County,48431,Capricorn Ridge expansion,2008,124,186.0,2,3,-100.969475,31.883724
NM,Quay County,35037,Caprock Wind Ranch,2004,60,60.0,3,3,-103.318588,34.965294
MN,Rice County,27131,Carleton College,2011,1,1.6,3,3,-93.127914,44.468742
CO,Kit Carson County,8063,Carousel,2015,88,149.6,3,3,-102.145088,39.339794
IA,Carroll County,19027,Carroll,2008,100,150.0,3,3,-94.903694,42.113094
IA,Carroll County,19027,Carroll Area,2015,9,20.0,3,3,-94.903442,41.944771
OH,Cuyahoga County,39035,Case Western University,2012,3,1.225,3,3,-81.496895,41.602093
WY,Natrona County,56025,Casper Wind Farm,2009,11,16.5,3,3,-106.21299,42.888695
PA,Somerset County,42111,Casselman,2007,23,34.5,3,3,-79.107994,39.862392
ID,Twin Falls County,16083,Cassia,2009,14,29.4,3,3,-115.017387,42.877495
IL,Livingston County,17105,Cayuga Ridge,2010,150,300.0,3,3,-88.389091,41.001392
KS,Ness County,20135,Cedar Bluff,2015,111,198.7,3,3,-99.806099,38.633041
CO,Weld County,8123,Cedar Creek,2007,53,79.5,3,3,-104.08889,40.882492
CO,Weld County,8123,Cedar Creek II,2011,63,100.8,3,3,-103.749786,40.946293
ND,Bowman County,38011,Cedar Hills,2010,13,19.5,3,3,-103.767387,46.245693
CO,Lincoln County,8073,Cedar Point,2011,139,250.2,3,3,-103.575394,39.508392
WI,Fond du Lac County,55039,Cedar Ridge Wind Farm,2008,41,67.65,3,3,-88.317696,43.729393
TX,Webb County,48479,Cedro Hill,2010,100,150.0,3,3,-98.876892,27.576895
CA,Yolo County,6113,Cemex Madison,2012,1,1.5,3,3,-121.935188,38.687595
OK,Harper County,40059,Centennial Wind Farm,2007,40,60.0,3,3,-99.610443,36.639271
KS,Wichita County,20203,Central Plains,2009,33,99.0,3,3,-101.161491,38.503094
IA,Wright County,19197,Century,2005,100,150.0,3,3,-93.667992,42.57349
IA,Hamilton County,19079,Century Expansion,2005,35,35.0,3,3,-93.69989,42.508392
IA,Cerro Gordo County,19033,Cerro Gordo/Hawkeye Power/Clear Lake,1999,55,41.25,3,3,-93.435593,43.049492
SD,Brule County,46015,Chamberlain Wind Project,2001,2,2.6,3,3,-99.246994,43.849392
MN,Murray County,27101,"Champepaden, Chandler Hills Phase II",2001,3,1.98,3,3,-95.955894,43.920391
TX,Nolan County,48353,Champion,2008,55,126.5,3,3,-100.611794,32.383595
MN,Murray County,27101,Chanarambie,2003,57,85.5,2,3,-96.006844,43.983963
TX,Nueces County,48355,Chapman Ranch,2017,81,249.075,3,3,-97.532806,27.632828
IA,Floyd County,19067,Charles City,2008,50,75.0,3,3,-92.733994,43.048992
PA,Blair County,42013,Chestnut Flats,2011,17,34.0,2,3,-78.469696,40.520992
AK,Kusilvak Census Area,2158,Chevak,2009,4,0.4,2,3,-165.608871,61.525002
OK,Garfield County,40047,Chisholm View,2012,140,235.2,3,3,-97.64949,36.573795
OK,Garfield County,40047,Chisholm View II,2016,27,64.8,3,3,-97.727295,36.512383
OR,Umatilla County,41059,Chopin,2016,6,9.9,3,3,-118.465309,45.887829
KS,Clark County,20025,Cimarron Bend I,2016,100,200.0,3,3,-99.863708,37.385075
KS,Clark County,20025,Cimarron Bend II,2017,100,200.0,3,3,-100.053795,37.363132
KS,Gray County,20069,Cimarron I,2012,72,165.6,3,3,-100.311295,37.860195
KS,Gray County,20069,Cimarron II,2012,57,131.1,3,3,-100.39389,37.872593
TX,Lynn County,48305,Cirrus 1,2012,17,61.2,3,3,-101.706688,33.033092
MN,Jackson County,27063,Cisco,2008,4,8.4,3,3,-95.372688,43.625793
SD,Miner County,46097,City of Howard Wind Turbines,2001,2,0.216,2,3,-97.539421,44.009567
CA,Monterey County,6053,City of Soledad Water Reclamation Facility,2014,1,1.85,3,3,-121.340164,36.42094
KS,Cloud County,20029,Cloud County Community College,2010,2,0.2,2,3,-97.664291,39.54837
WA,Grays Harbor County,53027,Coastal Energy,2010,4,6.0,3,3,-124.066582,46.793896
ID,Elmore County,16039,Cold Springs,2012,60,138.0,3,3,-115.44339,43.006992
CO,Prowers County,8099,Colorado Green Wind Project (Lamar),2003,108,162.0,3,3,-102.642387,37.700596
CO,Logan County,8075,Colorado Highlands,2012,42,67.2,3,3,-102.758392,40.720291
OR,Umatilla County,41059,Combine Hills I,2003,41,41.0,3,3,-118.586746,45.940266
OR,Umatilla County,41059,Combine Hills II,2009,63,63.0,3,3,-118.570984,45.935593
MN,Lincoln County,27081,Community Wind North,2011,12,30.0,3,3,-96.412994,44.244591
MN,Nobles County,27105,Community Wind South,2012,15,30.75,3,3,-95.809494,43.704693
MO,Nodaway County,29147,Conception Wind Project,2008,24,50.4,3,3,-94.666695,40.190693
OR,Gilliam County,41021,"Condon Wind Project, phase I",2001,41,24.6,3,3,-120.282883,45.283894
OR,Gilliam County,41021,"Condon Wind Project, phase II",2002,42,25.2,3,3,-120.255486,45.308395
OH,Van Wert County,39161,Cooper Farms,2012,2,3.0,3,3,-84.566795,40.914993
CA,Kern County,6029,Coram Energy LLC,2005,6,9.0,3,3,-118.342789,35.063293
TX,Floyd County,48153,Cotton Plains Wind,2017,21,50.4,3,3,-101.245377,34.005695
NE,Webster County,31181,Cottonwood Wind,2017,36,82.8,3,3,-98.485321,40.296494
ND,Stutsman County,38093,Courtenay,2016,100,200.0,3,3,-98.628441,47.245419
MO,Atchison County,29005,Cow Branch Wind Project,2008,24,50.4,3,3,-95.451393,40.483192
IA,Howard County,19089,Crane Creek,2009,66,99.0,3,3,-92.498489,43.406193
IL,Bureau County,17011,Crescent Ridge I,2005,33,54.45,3,3,-89.580292,41.261692
NE,Platte County,31141,Creston Ridge,2015,4,6.8,3,3,-97.383492,41.677593
NE,Platte County,31141,Creston Ridge Expansion,2017,3,6.9,3,3,-97.409187,41.678719
MD,Garrett County,24023,Criterion,2010,28,70.0,3,3,-79.334396,39.37429
NE,Knox County,31107,Crofton Bluffs,2012,20,36.0,3,3,-97.555794,42.700794
IA,Palo Alto County,19147,Cross Winds,2007,10,21.0,3,3,-94.901489,43.061493
MI,Tuscola County,26157,Cross Winds Energy Park,2014,62,110.98,3,3,-83.385345,43.60902
MI,Tuscola County,26157,Cross Winds Energy Park II,2018,19,43.7,3,3,-83.420448,43.66378
OK,Dewey County,40043,Crossroads,2011,85,195.5,3,3,-98.731895,36.051495
SD,Aurora County,46003,Crow Lake,2010,58,87.0,3,3,-98.780594,43.897991
IA,Hancock County,19081,Crystal Lake I,2008,100,150.0,3,3,-93.87989,43.177792
IA,Winnebago County,19189,Crystal Lake II,2008,76,190.0,3,3,-93.834595,43.274391
IA,Winnebago County,19189,Crystal Lake III,2009,44,66.0,3,3,-93.877792,43.362694
OH,Cuyahoga County,39035,Cuyahoga County Fairgrounds,2012,1,0.5,3,3,-81.839195,41.366493
MN,Meeker County,27093,Danielson,2011,12,20.04,3,3,-94.735596,45.067493
SD,Day County,46037,Day County Wind Project,2010,66,99.0,3,3,-97.891289,45.241493
TX,Hutchinson County,48233,DeWind Little Pringle #1,2010,5,10.0,3,3,-101.529091,35.921192
TX,Hutchinson County,48233,DeWind Little Pringle #2,2010,5,10.0,3,3,-101.535294,35.934296
MI,Huron County,26063,Deerfield,2017,28,58.8,3,2,-82.820694,43.947338
VT,Bennington County,50003,Deerfield Wind,2017,7,14.0,3,3,-72.989723,42.876476
TX,Culberson County,48109,Delaware Mts.,1999,38,28.5,3,3,-104.747894,31.689695
MA,Worcester County,25027,"Department of Correction, NCCI Gardner",2011,2,3.3,3,3,-71.938202,42.581692
CA,Riverside County,6065,Desert Hot Springs,1985,8,-9999.0,1,3,-116.608711,33.948154
TX,Pecos County,48371,Desert Sky,2001,107,160.5,3,3,-102.090294,30.937096
CA,Alameda County,6001,Diablo Winds,2004,31,20.46,3,3,-121.649788,37.772095
MT,Fallon County,30025,Diamond Willow Wind,2008,12,18.0,3,3,-104.175087,46.278893
MT,Fallon County,30025,Diamond Willow extension,2010,7,10.5,3,3,-104.168686,46.268894
CA,Riverside County,6065,DifWind Farms Ltd. I,1986,68,7.344,2,3,-116.563789,33.897694
CA,Riverside County,6065,DifWind Farms Ltd. II,1986,28,3.024,2,3,-116.566887,33.894493
CA,Riverside County,6065,DifWind Farms Ltd. IIA,1986,39,2.535,2,3,-116.568787,33.892696
CA,Riverside County,6065,DifWind Farms Ltd. V,1985,109,11.772,2,3,-116.551285,33.894794
CA,Kern County,6029,Difwind 6,1987,250,27.0,2,3,-118.269287,35.054794
CA,Riverside County,6065,Dillon,2008,45,45.0,3,3,-116.559891,33.938694
OR,Marion County,41047,Doerfler Farms,2011,1,0.25,3,3,-122.80687,44.867569
OK,Grady County,40051,Drift Sand,2016,54,108.0,3,3,-97.983833,34.847382
AZ,Navajo County,4017,Dry Lake,2009,30,63.0,3,3,-110.285393,34.673897
AZ,Navajo County,4017,Dry Lake II,2010,31,65.1,3,3,-110.164085,34.598194
WY,Carbon County,56007,Dunlap,2010,74,111.0,3,3,-106.155289,42.040794
OR,Baker County,41001,Durbin Creek,2017,5,10.0,3,3,-117.330193,44.351841
CA,Riverside County,6065,Dutch Energy,1994,20,10.0,2,3,-116.560287,33.896896
NY,Steuben County,36101,Dutch Hill/Cohocton,2009,50,125.0,3,3,-77.401497,42.526493
CA,Solano County,6095,EDF Renewable V,1990,78,16.2,2,3,-121.808952,38.081757
CA,Riverside County,6065,EUI Management,1985,64,7.68,2,3,-116.634621,33.941055
MN,Murray County,27101,East Ridge,2006,8,10.0,2,3,-95.917137,43.940216
CA,Riverside County,6065,East Winds,1985,7,4.165,2,3,-116.54789,33.889194
MI,Huron County,26063,Echo,2014,70,112.0,3,3,-83.173897,43.929394
OR,Umatilla County,41059,Echo 1-7,2009,27,44.55,3,3,-119.400284,45.703293
OR,Morrow County,41049,Echo 8-9,2009,5,10.0,3,3,-119.458473,45.64933
IA,Guthrie County,19077,Eclipse,2012,87,200.1,3,3,-94.679291,41.572193
IL,Stephenson County,17177,EcoGrove,2009,67,100.5,3,3,-89.85379,42.484894
CA,Riverside County,6065,Edom Hills (repower),2008,8,20.0,3,3,-116.460991,33.881794
NM,Torrance County,35057,El Cabo,2017,142,298.2,3,3,-105.62867,34.709526
KS,Butler County,20015,El Dorado Wind Power,2012,1,1.0,3,3,-96.851089,37.796993
TX,Howard County,48227,Elbow Creek Wind Farm,2008,53,121.9,3,3,-101.416389,32.199196
TX,Wilbarger County,48487,Electra Wind,2016,100,230.0,3,3,-99.014198,34.127373
IA,Delaware County,19055,Elk,2011,17,42.5,3,3,-91.392395,42.611191
OK,Roger Mills County,40129,Elk City,2009,43,98.9,3,3,-99.93869,35.535595
OK,Roger Mills County,40129,Elk City II,2010,48,72.0,3,3,-99.733292,35.480595
KS,Butler County,20015,Elk River,2005,100,150.0,3,3,-96.550392,37.579693
NE,Knox County,31107,Elkhorn Ridge,2009,27,81.0,3,3,-97.678688,42.671394
OR,Union County,41061,Elkhorn Valley (08),2008,2,3.3,3,3,-117.789085,45.109394
OR,Union County,41061,Elkhorn Valley (La Grande),2007,59,97.35,3,3,-117.815788,45.050896
MN,Jackson County,27063,Elm Creek,2008,66,99.0,3,3,-94.953094,43.739693
MN,Jackson County,27063,Elm Creek II,2010,62,148.8,3,3,-94.887489,43.744991
AK,Kusilvak Census Area,2158,Emmonak 1,2011,4,0.4,3,3,-164.560379,62.7836
IA,Osceola County,19143,Endeavor,2008,30,75.0,3,3,-95.485291,43.478191
IA,Osceola County,19143,Endeavor II,2008,20,50.0,3,3,-95.481094,43.456993
CA,Riverside County,6065,Enron Earth Smart/Green Power,1999,22,16.5,3,3,-116.595985,33.919994
KS,Gray County,20069,Ensign,2012,39,89.7,3,3,-100.218193,37.600693
MA,Essex County,25009,Equity Industrial Partners,2012,2,4.0,3,3,-70.657204,42.62669
AK,Denali Borough,2068,Eva Creek,2012,12,24.6,3,3,-148.903778,64.059998
WY,Uinta County,56041,Evanston (Wyoming Wind Energy Center),2003,80,144.0,3,3,-110.819046,41.363754
WI,Rock County,55105,Evansville WWTP,2010,1,0.1,3,3,-89.279991,42.777592
MN,Jackson County,27063,Ewington,2008,10,21.0,3,3,-95.377289,43.595898
WY,Laramie County,56021,F.E. Warren Air Force Base,2005,2,1.32,3,3,-104.882988,41.175995
MD,Garrett County,24023,Fair Wind,2015,12,30.0,3,3,-79.381378,39.331512
MT,Teton County,30099,Fairfield Wind Farm,2014,4,6.8,3,3,-111.950951,47.709682
MN,Martin County,27091,Fairmont Wind (SMMPA),2004,2,3.3,3,3,-94.441193,43.579292
TX,Randall County,48381,Falvez Astra,2017,68,163.2,3,3,-102.069374,34.765388
MN,Jackson County,27063,Farmer's,2004,6,5.7,3,3,-95.380737,43.651375
MO,Atchison County,29005,Farmers City,2009,73,146.0,3,3,-95.446091,40.570892
MN,Pipestone County,27117,Farmers' coops/Westridge,2003,18,17.1,3,3,-96.21859,43.992992
NY,Madison County,36053,Fenner Wind Power Project,2001,19,28.5,2,3,-75.764801,42.994392
MN,Murray County,27101,Fenton,2007,137,205.5,3,3,-95.908493,43.860493
RI,Providence County,44007,Field's Point Wastewater Treatment Facilit,2012,3,4.5,3,3,-71.389801,41.792789
AK,Anchorage Municipality,2020,Fire Island Project,2012,11,17.6,3,3,-150.222977,61.130699
KS,Kingman County,20095,Flat Ridge 2,2012,262,419.2,3,3,-98.254089,37.389694
KS,Harper County,20077,Flat Ridge 2 Expansion,2012,32,51.2,2,3,-98.141991,37.364994
KS,Barber County,20007,Flat Ridge Wind Farm,2009,40,100.0,3,3,-98.444191,37.356693
TX,Mills County,48333,Flat Top,2018,100,200.0,3,2,-98.525543,31.538652
NE,Richardson County,31147,Flat Water,2010,40,60.0,3,3,-95.889389,40.001194
